Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3260097,"genomic DNA from WA09 hESC_rep1","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260097/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260098,"genomic DNA from WA09 hESC_rep2","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260098/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260099,"genomic DNA from WA09 Splanchnic.Mesoderm_rep1","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260099/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260100,"genomic DNA from WA09 Splanchnic.Mesoderm_rep2","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260100/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260101,"genomic DNA from WA09 Mesothelium (MesoT)_rep1","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260101/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260102,"genomic DNA from WA09 Mesothelium (MesoT)_rep2","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260102/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260103,"genomic DNA from WA09 Mesothelium (MesoT)_rep3","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260103/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260104,"genomic DNA from WA07 Cardiomyocyte_rep1","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260104/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260105,"genomic DNA from WA07 Cardiomyocyte_rep2","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260105/suppl",,"Stephen Dalton","Oct 06, 2018"
GSM3260106,"genomic DNA from primary human aortic smooth muscle","genomic","Homo sapiens",1,GPL13534,GSE116754,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3260nnn/GSM3260106/suppl",,"Stephen Dalton","Oct 06, 2018"
